"time";"fahrgeschwindigkeit"
"2010-08-20T13:20:25";5.335999999999999
"2010-08-20T13:20:40";5.308999999999999
"2010-08-20T13:20:55";5.308999999999999
"2010-08-20T13:21:10";5.226999999999999
"2010-08-20T13:21:25";4.0089999999999995
"2010-08-20T13:21:40";4.143999999999999
"2010-08-20T13:21:55";5.0649999999999995
"2010-08-20T13:22:10";4.632
"2010-08-20T13:22:25";4.117
"2010-08-20T13:22:40";4.523
"2010-08-20T13:22:55";2.1119999999999997
"2010-08-20T13:23:10";4.415
"2010-08-20T13:23:25";4.875
"2010-08-20T13:23:40";3.9269999999999996
"2010-08-20T13:23:55";4.604
"2010-08-20T13:24:10";4.604
"2010-08-20T13:24:25";3.06
"2010-08-20T13:24:40";3.792
"2010-08-20T13:24:55";3.8999999999999995
"2010-08-20T13:25:10";4.334
"2010-08-20T13:25:25";4.1979999999999995
"2010-08-20T13:25:40";4.55
"2010-08-20T13:25:55";2.4099999999999997
"2010-08-20T13:26:10";5.255
"2010-08-20T13:26:25";4.659
"2010-08-20T13:26:40";4.848
"2010-08-20T13:26:55";4.252
"2010-08-20T13:27:10";3.819
"2010-08-20T13:27:25";4.901999999999999
"2010-08-20T13:27:40";5.119
"2010-08-20T13:27:55";2.9789999999999996
"2010-08-20T13:28:10";5.255
"2010-08-20T13:28:25";5.226999999999999
"2010-08-20T13:28:40";5.417
"2010-08-20T13:28:55";5.444
"2010-08-20T13:29:10";5.579999999999999
"2010-08-20T13:29:25";5.579999999999999
"2010-08-20T13:29:40";5.6339999999999995
"2010-08-20T13:29:55";5.6610000000000005
"2010-08-20T13:30:10";5.579999999999999
"2010-08-20T13:30:25";5.199999999999999
"2010-08-20T13:30:40";4.848
"2010-08-20T13:30:55";5.255
"2010-08-20T13:31:10";5.335999999999999
"2010-08-20T13:31:25";5.417
"2010-08-20T13:31:40";4.875
"2010-08-20T13:31:55";4.523
"2010-08-20T13:32:10";2.925
"2010-08-20T13:32:25";4.170999999999999
"2010-08-20T13:32:40";3.819
"2010-08-20T13:32:55";5.363
"2010-08-20T13:33:10";3.1959999999999997
"2010-08-20T13:33:25";3.6289999999999996
"2010-08-20T13:33:40";4.170999999999999
"2010-08-20T13:33:55";3.8459999999999996
"2010-08-20T13:34:10";5.851
"2010-08-20T13:34:25";3.8999999999999995
"2010-08-20T13:34:40";4.1979999999999995
"2010-08-20T13:34:55";3.954
"2010-08-20T13:35:10";4.468999999999999
"2010-08-20T13:35:25";4.388
"2010-08-20T13:35:40";4.415
"2010-08-20T13:35:55";5.795999999999999
"2010-08-20T13:36:10";
"2010-08-20T13:36:25";5.497999999999999
"2010-08-20T13:36:40";1.5439999999999998
"2010-08-20T13:36:55";4.143999999999999
"2010-08-20T13:37:10";4.0360000000000005
"2010-08-20T13:37:25";0.704
"2010-08-20T13:37:40";6.9879999999999995
"2010-08-20T13:37:55";
"2010-08-20T13:38:10";7.665
"2010-08-20T13:38:25";1.516
"2010-08-20T13:38:40";0.5680000000000001
"2010-08-20T13:38:55";
"2010-08-20T13:39:10";
"2010-08-20T13:39:25";
"2010-08-20T13:39:40";
"2010-08-20T13:39:55";
"2010-08-20T13:40:10";0.5680000000000001
"2010-08-20T13:40:25";9.777999999999999
"2010-08-20T13:40:40";14.817
"2010-08-20T13:40:55";6.093999999999999
"2010-08-20T13:41:10";4.93
"2010-08-20T13:41:25";4.957
"2010-08-20T13:41:40";4.984
"2010-08-20T13:41:55";4.7669999999999995
"2010-08-20T13:42:10";4.875
"2010-08-20T13:42:25";4.7669999999999995
"2010-08-20T13:42:40";4.821
"2010-08-20T13:42:55";4.901999999999999
"2010-08-20T13:43:10";4.93
"2010-08-20T13:43:25";5.037999999999999
"2010-08-20T13:43:40";5.092
"2010-08-20T13:43:55";5.146
"2010-08-20T13:44:10";5.363
"2010-08-20T13:44:25";5.308999999999999
"2010-08-20T13:44:40";5.553
"2010-08-20T13:44:55";5.5249999999999995
"2010-08-20T13:45:10";5.335999999999999
"2010-08-20T13:45:25";5.5249999999999995
"2010-08-20T13:45:40";5.553
"2010-08-20T13:45:55";5.471
"2010-08-20T13:46:10";5.335999999999999
"2010-08-20T13:46:25";5.497999999999999
"2010-08-20T13:46:40";5.471
"2010-08-20T13:46:55";5.553
"2010-08-20T13:47:10";5.553
"2010-08-20T13:47:25";5.497999999999999
"2010-08-20T13:47:40";5.579999999999999
"2010-08-20T13:47:55";5.5249999999999995
"2010-08-20T13:48:10";5.444
"2010-08-20T13:48:25";5.553
"2010-08-20T13:48:40";4.7940000000000005
"2010-08-20T13:48:55";4.93
"2010-08-20T13:49:10";5.471
"2010-08-20T13:49:25";5.8229999999999995
"2010-08-20T13:49:40";5.768999999999999
"2010-08-20T13:49:55";5.688
"2010-08-20T13:50:10";5.768999999999999
"2010-08-20T13:50:25";5.795999999999999
"2010-08-20T13:50:40";5.8229999999999995
"2010-08-20T13:50:55";4.821
"2010-08-20T13:51:10";3.8459999999999996
"2010-08-20T13:51:25";4.984
"2010-08-20T13:51:40";
"2010-08-20T13:51:55";7.151
"2010-08-20T13:52:10";5.146
"2010-08-20T13:52:25";5.363
"2010-08-20T13:52:40";4.09
"2010-08-20T13:52:55";2.465
"2010-08-20T13:53:10";1.1099999999999999
"2010-08-20T13:53:25";2.8979999999999997
"2010-08-20T13:53:40";4.063
"2010-08-20T13:53:55";3.9269999999999996
"2010-08-20T13:54:10";3.954
"2010-08-20T13:54:25";4.1979999999999995
"2010-08-20T13:54:40";3.954
"2010-08-20T13:54:55";4.334
"2010-08-20T13:55:10";4.739999999999999
"2010-08-20T13:55:25";3.006
"2010-08-20T13:55:40";3.954
"2010-08-20T13:55:55";4.4959999999999996
"2010-08-20T13:56:10";4.984
"2010-08-20T13:56:25";4.632
"2010-08-20T13:56:40";4.875
"2010-08-20T13:56:55";4.7940000000000005
"2010-08-20T13:57:10";4.93
"2010-08-20T13:57:25";8.152999999999999
"2010-08-20T13:57:40";10.726
"2010-08-20T13:57:55";
"2010-08-20T13:58:10";2.546
"2010-08-20T13:58:25";0.6769999999999999
"2010-08-20T13:58:40";
"2010-08-20T13:58:55";
"2010-08-20T13:59:10";
"2010-08-20T13:59:25";
"2010-08-20T13:59:40";
"2010-08-20T13:59:55";
"2010-08-20T14:00:10";8.424
"2010-08-20T14:00:25";
"2010-08-20T14:00:40";
"2010-08-20T14:00:55";
"2010-08-20T14:01:10";4.93
"2010-08-20T14:01:25";15.304
"2010-08-20T14:01:40";12.623
"2010-08-20T14:01:55";3.0879999999999996
"2010-08-20T14:02:10";4.848
"2010-08-20T14:02:25";5.417
"2010-08-20T14:02:40";5.471
"2010-08-20T14:02:55";5.471
"2010-08-20T14:03:10";5.497999999999999
"2010-08-20T14:03:25";4.604
"2010-08-20T14:03:40";3.0879999999999996
"2010-08-20T14:03:55";7.502999999999999
"2010-08-20T14:04:10";4.7669999999999995
"2010-08-20T14:04:25";4.604
"2010-08-20T14:04:40";4.4959999999999996
"2010-08-20T14:04:55";4.713
